2020-12-13 19:27:13 |INFO  |main |EhCacheManager.java:166 |org.apache.shiro.cache.ehcache.EhCacheManager |Added EhCache named [com.woniu.springboot.admin.realm.UserRealm.authorizationCache]
2020-12-13 19:27:13 |INFO  |main |PostProcessorRegistrationDelegate.java:350 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-13 19:27:16 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-13 19:27:16 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-13 19:27:16 |INFO  |main |WelcomePageHandlerMapping.java:58 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page template: index
2020-12-13 19:27:18 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-13 19:27:18 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-13 19:27:18 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-13 19:27:19 |INFO  |main |StartupInfoLogger.java:61 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |Started SpringbootK15AdminApplicationTests in 24.215 seconds (JVM running for 28.577)
2020-12-13 19:27:20 |INFO  |main |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:43 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |技术专员
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:36 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |admin
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |公务车调度系统
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |系统设置
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |用户管理
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |角色管理
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |统计报表
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |基础数据
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |车辆信息
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |司机信息
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |用户修改
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |用户删除
2020-12-13 19:27:21 |INFO  |main |SpringbootK15AdminApplicationTests.java:50 |com.woniu.springboot.admin.SpringbootK15AdminApplicationTests |分配角色
2020-12-13 19:27:21 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-13 19:27:21 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2024 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2020-12-13 19:27:21 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2096 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
2020-12-13 19:31:48 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.woniu.springboot.admin.SpringbootK15AdminApplication |Starting SpringbootK15AdminApplication using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 6480 (D:\ideaprojects\springboot_k15\springboot_k15_admin\target\classes started by xiakai in D:\ideaprojects\springboot_k15)
